City_State,Clean_City,Population,Lat,Lng,Max Temp,Min Temp
"Tucson, Arizona",Tucson,539216.0,32.2226066,-110.9747108,78.01,73.99
"Stockton, California",Stockton,306283.0,37.9577016,-121.29077959999998,48.0,45.0
"Long Beach, California",Long Beach,468883.0,33.770050399999995,-118.1937395,57.0,53.01
"Chula Vista, California",Chula Vista,266468.0,32.6400541,-117.0841955,62.6,53.6
"Riverside, California",Riverside,323935.0,33.9806005,-117.3754942,63.0,62.01
"San Diego, California",San Diego,1401932.0,32.715738,-117.1610838,63.0,55.0
"Anaheim, California",Anaheim,349668.0,33.8365932,-117.9143012,57.2,52.0
"Fresno, California",Fresno,522277.0,36.737798100000006,-119.7871247,48.2,45.0
"Oakland, California",Oakland,421042.0,37.8043514,-122.2711639,64.99,59.0
"Aurora, Colorado",Aurora,363550.0,39.7294319,-104.8319195,64.99,62.01
"Colorado Springs, Colorado",Colorado Springs,457502.0,38.8338816,-104.8213634,60.01,51.8
"Denver, Colorado",Denver,693417.0,39.7392358,-104.990251,64.99,57.0
"Irvine, California",Irvine,265502.0,33.6845673,-117.82650490000002,59.0,52.0
"San Jose, California",San Jose,1026658.0,37.3382082,-121.88632859999998,50.0,46.0
"San Francisco, California",San Francisco,870044.0,37.7749295,-122.4194155,51.01,45.0
"Sacramento, California",Sacramento,495011.0,38.5815719,-121.4943996,50.0,48.0
"Santa Ana, California",Santa Ana,333499.0,33.7454725,-117.867653,59.0,52.0
"Los Angeles, California",Los Angeles,3959657.0,34.0522342,-118.24368490000002,57.2,46.99
"Miami, Florida",Miami,451214.0,25.7616798,-80.1917902,81.0,80.01
"St. Petersburg, Florida",St. Petersburg,259041.0,27.767600800000004,-82.64029149999998,48.99,44.8
"Orlando, Florida",Orlando,275690.0,28.5383355,-81.3792365,84.0,80.6
"Tampa, Florida",Tampa,376345.0,27.950575,-82.4571776,86.0,81.0
"Atlanta, Georgia",Atlanta,479655.0,33.7489954,-84.3879824,69.01,64.0
"Jacksonville, Florida",Jacksonville,878907.0,30.3321838,-81.65565099999998,81.0,77.0
"Chicago, Illinois",Chicago,2718555.0,41.8781136,-87.62979820000002,64.99,60.8
"Fort Wayne, Indiana",Fort Wayne,264052.0,41.079273,-85.13935129999999,63.0,57.2
"Wichita, Kansas",Wichita,389563.0,37.68717609999999,-97.330053,64.0,59.0
"Baltimore, Maryland",Baltimore,614700.0,39.2903848,-76.6121893,73.0,64.4
"New Orleans, Louisiana",New Orleans,389648.0,29.95106579999999,-90.0715323,72.0,69.01
"St. Paul, Minnesota",St. Paul,302760.0,44.9537029,-93.0899578,66.0,60.8
"Minneapolis, Minnesota",Minneapolis,416021.0,44.977753,-93.2650108,64.99,61.0
"Boston, Massachusetts",Boston,679413.0,42.3600825,-71.0588801,71.01,66.2
"Detroit, Michigan",Detroit,677155.0,42.33142700000001,-83.0457538,63.0,57.2
