City_State,Clean_City,Population,Lat,Lng,Max Temp,Min Temp,Number of Stations,Stations per 1k Population,Stations per mile
"St. Paul, Minnesota",St. Paul,302760.0,44.953702899999996,-93.0899578,66.0,60.8,269,1.1255018587360595,0.03425006366182837
"Las Vegas, Nevada",Las Vegas,626637.0,36.169941200000004,-115.13982959999998,57.2,54.0,235,2.6665404255319145,0.02992105933282404
"Columbus, Ohio",Columbus,867628.0,39.9611755,-82.99879419999998,64.0,55.4,235,3.6920340425531917,0.02992105933282404
"Henderson, Nevada",Henderson,291346.0,36.0395247,-114.9817213,55.99,55.0,232,1.2558017241379311,0.029539088362617774
"Fresno, California",Fresno,522277.0,36.737798100000006,-119.78712469999999,48.2,45.0,217,2.4068064516129035,0.027629233511586453
"Greensboro, North Carolina",Greensboro,288719.0,36.072635399999996,-79.79197540000001,69.01,66.99,191,1.5116178010471204,0.024318818436465495
"Pittsburgh, Pennsylvania",Pittsburgh,303587.0,40.44062479999999,-79.9958864,64.99,60.01,180,1.6865944444444443,0.02291825821237586
"Virginia Beach, Virginia",Virginia Beach,450135.0,36.8529263,-75.97798499999998,71.01,68.0,164,2.7447256097560975,0.020881079704609118
"San Antonio, Texas",San Antonio,1486521.0,29.4241219,-98.4936282,68.0,66.0,148,10.04406081081081,0.018843901196842372
"Buffalo, New York",Buffalo,257518.0,42.88644679999999,-78.8783689,64.0,61.0,144,1.7883194444444444,0.01833460656990069
"Jacksonville, Florida",Jacksonville,878907.0,30.3321838,-81.65565099999998,81.0,77.0,143,6.146202797202798,0.018207282913165267
"Toledo, Ohio",Toledo,278193.0,41.6528052,-83.53786740000002,62.01,61.0,142,1.9591056338028168,0.018079959256429846
"Cleveland, Ohio",Cleveland,387398.0,41.499320000000004,-81.6943605,63.0,60.8,134,2.891029850746269,0.017061370002546473
"Cincinnati, Ohio",Cincinnati,300357.0,39.103118200000004,-84.5120196,66.0,61.0,126,2.3837857142857146,0.016042780748663103
"Milwaukee, Wisconsin",Milwaukee,596886.0,43.0389025,-87.9064736,64.0,62.01,123,4.852731707317073,0.01566080977845684
"St. Louis, Missouri",St. Louis,311273.0,38.6270025,-90.1994042,66.0,57.99,117,2.6604529914529915,0.014896867838044309
"Madison, Wisconsin",Madison,252086.0,43.07305170000001,-89.4012302,73.99,66.0,106,2.378169811320755,0.013496307613954673
"Oklahoma City, Oklahoma",Oklahoma City,637284.0,35.4675602,-97.5164276,68.0,62.6,103,6.1872233009708735,0.013114336643748408
"Tucson, Arizona",Tucson,539216.0,32.2226066,-110.9747108,78.01,73.99,91,5.92545054945055,0.011586452762923352
"Colorado Springs, Colorado",Colorado Springs,457502.0,38.8338816,-104.82136340000001,60.01,51.8,89,5.1404719101123595,0.011331805449452509
"Tulsa, Oklahoma",Tulsa,402223.0,36.1539816,-95.992775,64.99,60.8,86,4.677011627906977,0.010949834479246244
"Memphis, Tennessee",Memphis,653248.0,35.1495343,-90.0489801,71.01,64.4,76,8.595368421052632,0.00967659791189203
"New Orleans, Louisiana",New Orleans,389648.0,29.95106579999999,-90.0715323,72.0,69.01,67,5.815641791044777,0.008530685001273236
"Lincoln, Nebraska",Lincoln,280849.0,40.813615999999996,-96.7025955,63.0,62.01,52,5.400942307692308,0.006620830150241915
"El Paso, Texas",El Paso,680354.0,31.7618778,-106.48502169999999,68.0,60.8,47,14.475617021276596,0.0059842118665648075
"Omaha, Nebraska",Omaha,465112.0,41.2565369,-95.93450340000001,64.0,59.0,45,10.335822222222223,0.005729564553093965
"Albuquerque, New Mexico",Albuquerque,559202.0,35.0843859,-106.65042199999999,64.0,55.4,41,13.639073170731708,0.0052202699261522795
"Fort Wayne, Indiana",Fort Wayne,264052.0,41.079273,-85.13935129999999,63.0,57.2,35,7.5443428571428575,0.004456327985739751
"Wichita, Kansas",Wichita,389563.0,37.68717609999999,-97.330053,64.0,59.0,34,11.457735294117647,0.004329004329004329
"Corpus Christi, Texas",Corpus Christi,324692.0,27.800582799999997,-97.396381,75.2,71.6,25,12.987680000000001,0.003183091418385536
"Lubbock, Texas",Lubbock,250415.0,33.5778631,-101.85516650000001,64.0,57.2,6,41.73583333333333,0.0007639419404125286
"Laredo, Texas",Laredo,257575.0,27.5035613,-99.50755190000001,66.2,64.4,3,85.85833333333333,0.0003819709702062643
